MSOA,MedianHP,Borough,Area,Inner,Political,PopulationDensity,WorkingAge,ObesityRate,LifeExpectancy,BAME,Unemployed,MedianHHIncome,CarsPerHH,OwnershipRate,Sales
E02000037,320000,Barnet,North,Outer,Conservative,23.15465729,61.051227,19.7,85.05,36.50549225,6.204997882,36674.50118,1.374153665,65.3,101
E02000038,317500,Barnet,North,Outer,Conservative,61.6,68.527677,18.1,80,34.53490584,6.0289249,33580.6355,1.086194122,63.4,147
E02000039,425000,Barnet,North,Outer,Conservative,31.56660413,64.224719,16.2,86.65,29.8576779,4.030874786,45508.92417,1.433400402,72.9,87
E02000040,367500,Barnet,North,Outer,Conservative,13.96675137,62.22037,17.9,84.8,37.69626233,7.339181287,31792.79856,1.154775387,56.4,124
E02000041,338500,Barnet,North,Outer,Conservative,67.8402016,64.249234,18.7,82.55,42.81012371,6.123367852,30530.27817,1.116987179,60.4,72
E02000042,280000,Barnet,North,Outer,Conservative,90.1443299,68.812858,15.3,80.9,42.03402575,5.995284608,31836.00574,0.860665008,53,131
E02000043,537500,Barnet,North,Outer,Conservative,53.30066694,64.241164,14.8,83.25,39.6049896,4.737775526,51412.2193,1.311919792,71,71
E02000044,247000,Barnet,North,Outer,Conservative,73.87574499,66.187585,22.6,80.8,43.89790608,8.316782522,26179.28666,0.965758211,47.1,55
E02000045,268975,Barnet,North,Outer,Conservative,60.3054755,69.834913,20.6,80.75,35.45960731,7.655073503,28859.25069,0.875479846,50.2,112
E02000046,317500,Barnet,North,Outer,Conservative,74.83751161,71.640946,13.6,81.3,37.22214357,5.514618493,37474.24218,0.889160839,50.3,62
E02000047,230000,Barnet,North,Outer,Conservative,80.89848144,66.059967,23.9,79.35,53.94355051,8.725561188,22538.35301,0.78468781,40.8,67
E02000048,363500,Barnet,North,Outer,Conservative,32.32280656,64.63278,16,85.75,36.11082816,5.068493151,41106.09083,1.283033827,68.6,136
E02000049,218500,Barnet,North,Outer,Conservative,110.2739726,63.918617,26,82.35,61.54298483,11.52506031,19305.39876,0.702113606,19.4,32
E02000050,270000,Barnet,North,Outer,Conservative,48.53572271,67.517886,17.4,82.55,37.62917329,6.499261448,30133.53453,0.931481962,50.6,107
E02000051,349760,Barnet,North,Outer,Conservative,60.861462,64.507922,14.1,84.85,34.30091361,5.329500221,42566.51834,1.09245123,58.7,99
E02000052,356500,Barnet,North,Outer,Conservative,102.9612051,70.983708,15.2,82.65,26.55186636,5.163184251,37105.5961,0.772039395,51.6,129
E02000053,250000,Barnet,North,Outer,Conservative,60.26319185,74.117512,19.2,80.6,59.03185006,6.485445205,25778.24701,0.862515413,43.2,202
E02000054,321500,Barnet,North,Outer,Conservative,49.01346487,71.31557,15.3,85.1,45.96169858,5.634165166,32170.79989,1.088320115,54,86
E02000055,325000,Barnet,North,Outer,Conservative,79.1973337,68.84097,15.1,81.25,38.12219227,5.274224636,31357.69778,0.912658531,45.8,129
E02000056,875000,Barnet,North,Outer,Conservative,28.586037,61.452453,13,83.75,20.32132002,3.5832051,63752.10892,1.437168142,69.9,98
E02000057,390000,Barnet,North,Outer,Conservative,69.23709456,63.067878,15.3,83,29.58311064,6.355701037,37190.9235,1.079268293,54.9,80
E02000058,567900,Barnet,North,Outer,Conservative,57.76209121,62.41683,12.8,85.35,23.21917808,4.568916077,49097.23685,1.067154759,62.2,114
E02000059,250000,Barnet,North,Outer,Conservative,48.42268417,69.844153,20.7,82.05,57.79711253,7.950018109,24086.94861,0.827318296,45.5,71
E02000060,543000,Barnet,North,Outer,Conservative,90.89802872,58.452381,13.2,82.9,27.39010989,5.66742786,40122.15783,0.977352941,49.3,75
E02000061,480000,Barnet,North,Outer,Conservative,51.80821573,68.76326,12.2,81.55,33.70772495,5.283359675,48783.37168,0.947351828,50.8,119
E02000062,272500,Barnet,North,Outer,Conservative,35.32227359,69.022082,20.3,77.7,50.63091483,8.842105263,23645.09215,0.689011455,36.3,38
E02000063,350000,Barnet,North,Outer,Conservative,68.95122421,67.508248,16.4,81.1,47.72629465,7.928029238,28148.03127,0.925289652,53.5,80
E02000064,319500,Barnet,North,Outer,Conservative,81.01711984,68.053777,16.8,77.9,39.14852753,8.096280088,28377.01714,0.73877551,41.5,52
E02000065,145000,Bexley,East,Outer,Conservative,24.80264595,66.018784,28.6,76.95,56.69188625,10.77891424,26981.4071,0.899193548,51.1,27
E02000066,126000,Bexley,East,Outer,Conservative,61.46608176,65.532621,28.8,78.6,47.09055077,12.05204778,22541.74283,0.748089592,35.8,66
E02000067,155000,Bexley,East,Outer,Conservative,38.81493647,65.691429,27.5,81.45,30.42285714,8.296362023,26155.85166,0.938547486,57.8,73
E02000068,155000,Bexley,East,Outer,Conservative,32.95329489,65.646995,26.8,79.35,34.69139145,9.986504723,26030.14977,0.858270306,47.1,59
E02000069,161000,Bexley,East,Outer,Conservative,42.88568869,62.608976,25.9,81.5,25.63771392,6.501650165,29096.81648,1.135470942,70.8,71
E02000070,228000,Bexley,East,Outer,Conservative,42.49151355,63.047619,27,81.45,17.61269841,4.959289415,33409.89527,1.266288952,81.6,103
E02000071,214000,Bexley,East,Outer,Conservative,62.77254603,65.260274,27.8,81.95,15.10958904,5.520504732,29747.55984,1.242271747,76.9,87
E02000072,158000,Bexley,East,Outer,Conservative,27.25527392,62.647009,30.2,78.2,28.74552582,12.48622842,22761.63412,0.79690809,40.9,72
E02000073,242000,Bexley,East,Outer,Conservative,66.85,61.879896,26.3,84.2,16.19731443,4.441577589,38384.16803,1.364415323,89.2,117
E02000074,163000,Bexley,East,Outer,Conservative,68.79539415,62.887002,30.6,79.45,17.85760941,8.458244111,24851.14207,0.990266876,51.9,61
E02000075,250000,Bexley,East,Outer,Conservative,51.58285565,62.581782,26.4,82.45,11.56265727,3.837745932,38684.75909,1.333543506,88.2,83
E02000077,220000,Bexley,East,Outer,Conservative,70.64088793,63.620095,26.9,81.95,17.12897865,4.705311666,31615.25357,1.259233449,80.8,72
E02000078,203250,Bexley,East,Outer,Conservative,52.13066272,64.827136,28.1,81.5,9.367253751,4.179529803,36560.80937,1.357378129,86.6,104
E02000079,221250,Bexley,East,Outer,Conservative,47.52108744,62.225048,25.1,79.7,13.41385887,4.43253775,37559.60814,1.102846648,78.3,118
E02000080,229000,Bexley,East,Outer,Conservative,55.34405297,64.241782,25.4,82.15,18.504772,5.845213849,32793.24804,1.204754187,81,109
E02000081,231995,Bexley,East,Outer,Conservative,34.07236126,61.679755,26.3,82.8,10.44855584,5.835543767,32046.06607,1.187379266,76.5,93
E02000082,230500,Bexley,East,Outer,Conservative,60.04273504,65.175755,28.7,82.3,12.58449752,4.428952225,36143.6511,1.401966627,89.8,96
E02000083,175000,Bexley,East,Outer,Conservative,26.84531451,63.637294,27.5,81.05,12.11749053,6.496102339,29037.86592,1.156587202,70.4,128
E02000084,248997.5,Bexley,East,Outer,Conservative,40.79657619,64.148106,25.2,84.6,12.90292266,4.303885694,41318.39429,1.407935377,86.1,132
E02000085,210000,Bexley,East,Outer,Conservative,49.23929781,64.056759,27.1,83.15,9.98352971,4.178470255,33486.73688,1.342412451,85,92
E02000086,239000,Bexley,East,Outer,Conservative,49.85555929,65.215611,27.7,85.15,7.437227074,3.754693367,41088.67579,1.444245249,89.9,95
E02000087,324000,Bexley,East,Outer,Conservative,20.43540271,60.205832,21.8,84.6,10.33117826,3.754889179,48169.26604,1.38478676,84.8,96
E02000088,250000,Bexley,East,Outer,Conservative,38.75825495,62.957219,25.9,83.05,8.194390591,3.570566948,40186.3077,1.412533512,88.9,102
E02000089,273000,Bexley,East,Outer,Conservative,57.38520035,61.236027,25.5,81.95,7.60632147,4.057754543,42365.78824,1.398413246,88.1,83
